Antalya Yivli Minareli Camii
Antalya Yivli Minareli Camii, Antalya'nın en önemli tarihi yapılarından biri olup, Selçuklu dönemine ait bir eserdir. 
Yivli Minareli Camii, Anadolu Selçuklu Sultanı I. Alaeddin Keykubad döneminde, 13. yüzyılda inşa edilmiştir. Minarenin kesin yapım tarihi 1219-1236 yılları arasına tarihlenir.
Minare, tuğla ve turkuaz çinilerle süslenmiştir. 
Yivli görünümü, gövdesindeki sekiz adet yivden kaynaklanır.
Minarenin yüksekliği yaklaşık 38 metredir ve alt kısmında kare planlı bir kaide yer alır.
Camii kısmı, bir dönem Bizans kilisesi olan bir yapının üzerine inşa edilmiştir.
Antalya'nın ilk İslami eserlerinden biridir. 
Şehrin simgesi haline gelmiş olup, Antalya'nın birçok logosunda ve kartpostalında yer alır.
UNESCO Dünya Mirası Geçici Listesi'nde yer almaktadır.
Yivli Minare, turistik bir cazibe merkezi olarak ziyaret edilmektedir.
Çevresinde Selçuklu döneminden kalma medrese, türbe ve hamam gibi diğer yapılar da bulunmaktadır.
Antalya’yı ziyaret edenlerin mutlaka görmesi gereken bu yapı, Selçuklu mimarisinin eşsiz örneklerinden biridir.
